height_cm,media,price_gbp,title,url,width_cm
30,Acrylic paint on sprayed board,24,P10 by Olly Fathers,https://www.bearspace.co.uk/product-page/p10-by-olly-fathers,30
120,90x120,N/A,Overland I by Jane Ward,https://www.bearspace.co.uk/product-page/overland-i-by-jane-ward,120
120,Sprayed board,400,Crossroads by Olly Fathers,https://www.bearspace.co.uk/product-page/crossroads-by-olly-fathers,120
130,"Oil paint, spray paint & gold leaf on board",N/A,The Hurricane by Lucy Baker,https://www.bearspace.co.uk/product-page/the-hurricane-by-lucy-baker,130
32,"Various wood veneers, various woods, board",110,Constructed Veneer IV by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-4-by-olly-fathers,32
130,"Oil paint, spray paint & gold leaf on board",N/A,Amazons by Lucy Baker,https://www.bearspace.co.uk/product-page/amazons-by-lucy-baker,130
70,"Spraypaint, board, card, digital print collage",194,Tommy by Olly Fathers,https://www.bearspace.co.uk/product-page/tommy-by-olly-fathers,70
24,"Various wood veneers, various woods, board",94,Constructed Veneer VI by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers-1,24
40,"Oil paint, spray paint & gold leaf on board",N/A,OFF ROAD by Lucy Baker,https://www.bearspace.co.uk/product-page/off-road-by-lucy-baker,40
33,"Various wood veneers, various woods, board",94,Constructed Veneer V by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers,33
25,"Various wood veneers, various woods, board",94,Constructed Veneer VII by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-vii-by-olly-fathers,25
21,"Spraypaint, vinyl, card, digital print collage",N/A,Collage 2 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-2-by-olly-fathers,21
21,"Spraypaint, vinyl, card, digital print collage",N/A,Collage 3 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-3-by-olly-fathers,21
21,"Spraypaint, vinyl, card, digital print collage",N/A,Collage 1 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-1-by-olly-fathers,21
30,Acrylic paint on sprayed board,24,C6 by Olly Fathers,https://www.bearspace.co.uk/product-page/c6-by-olly-fathers,30
30,Acrylic paint on sprayed board,24,C13 by Olly Fathers,https://www.bearspace.co.uk/product-page/c13-by-olly-fathers,30
30,Acrylic paint on sprayed board,24,P1 by Olly Fathers,https://www.bearspace.co.uk/product-page/p1-by-olly-fathers,30
30,Acrylic paint on sprayed board,24,P8 by Olly Fathers,https://www.bearspace.co.uk/product-page/p8-by-olly-fathers,30
30,Acrylic paint on sprayed board,24,P4 by Olly Fathers,https://www.bearspace.co.uk/product-page/p4-by-olly-fathers,30
120,Archival digital print on canvas with dissolved canvas,N/A,The Ephemeral Isles by Jane Ward,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-by-jane-ward,120
34,"Oil paint, spray paint & gold leaf on board",N/A,Another Sunset by Lucy Baker,https://www.bearspace.co.uk/product-page/another-sunset-by-lucy-baker,34
50,"oil with charcoal, watercolour and pencil on canvas",N/A,Morning Came by Dominic Bradnum,https://www.bearspace.co.uk/product-page/morning-came-by-dominic-bradnum,50
40,Oil paint & spray paint on board,N/A,Hurricane by Lucy Baker,https://www.bearspace.co.uk/product-page/hurricane-by-lucy-baker,40
N/A,Digital print under acrylic with subframe,N/A,Portal 7 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-7-by-jane-ward,N/A
14,16cm x 14cm,44,Kin by Vic Wright,https://www.bearspace.co.uk/product-page/kin-by-vic-wright,14
N/A,Digital print under acrylic with subframe,N/A,Portal 8 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-8-by-jane-ward,N/A
N/A,Digital print under acrylic with subframe,N/A,Portal 9 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-9-by-jane-ward,N/A
50,Inkjet Print (Hahnemuhle Ultra-Smooth),N/A,Balancing Acts I by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-i-by-elise-wootten,50
50,Inkjet Print (Hahnemuhle Ultra-Smooth),N/A,Balancing Acts II by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-ii-by-elise-wootten,50
50,Inkjet Print (Hahnemuhle Ultra-Smooth),N/A,Balancing Acts III by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-iii-by-elise-wootten,50
50,Inkjet Print (Hahnemuhle Ultra-Smooth),N/A,Balancing Acts IV by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-iv-by-elise-wootten,50
50,"oil on canvas with charcoal, watercolour and pencil",64,You Took My Breath Away by Dominic Bradnum,https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-bradnum,50
50,Inkjet Print (Hahnemuhle Ultra-Smooth),N/A,Balancing Acts V by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-v-by-elise-wootten,50
80,"Oil with charcoal, watercolour and sand on canvas",140,As The Tide Turned by Dominic Bradnum,https://www.bearspace.co.uk/product-page/as-the-tide-turned-by-dominic-bradnum,80
53,Sprayed board,340,Candy Flop by Olly Fathers,https://www.bearspace.co.uk/product-page/candy-flop-by-olly-fathers,53
89,"Aluminium, Inkjet Vinyl Print",N/A,Somewhat Confusing II by Elise Wootten,https://www.bearspace.co.uk/product-page/somewhat-confusing-ii-by-elise-wootten,89
88,"Aluminium, Inkjet Vinyl Print",N/A,Somewhat Confusing I by Elise Wootten,https://www.bearspace.co.uk/product-page/somewhat-confusing-i-by-elise-wootten,88
882019,"Aluminium, Inkjet Vinyl Print",N/A,Somewhat Confusing III by Elise Wootten,https://www.bearspace.co.uk/product-page/somewhat-confusing-iii-by-elise-wootten,882019
50,Set of four,N/A,All Recognisable Entities by Elise Wootten,https://www.bearspace.co.uk/product-page/all-recognisable-entities-by-elise-wootten,50
120,Archival digital print on canvas with dissolved canvas,N/A,To The Zenith's Height by Jane Ward,https://www.bearspace.co.uk/product-page/to-the-zenith-s-height-by-jane-ward,120
60,Digital print on Aluminium,N/A,From Steep to Steep by Jane Ward,https://www.bearspace.co.uk/product-page/from-steep-to-steep-by-jane-ward,60
N/A,Digital print under acrylic with subframe,N/A,Portal 6 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-6-by-jane-ward,N/A
15,"13K gold leaf, copper leaf, white casting cement, iron and pigment",N/A,Meld 5,https://www.bearspace.co.uk/product-page/copy-of-meld-5,15
60,Digital print on canvas with dissolved ink,N/A,The Ephemeral Isles 5 by Jane Ward,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-5a-by-jane-ward,60
30,Digital print on Aluminium,N/A,Unfathomable Deeps by Jane Ward,https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward-1,30
30,Digital print on Aluminium,N/A,From Frozen Floods by Jane Ward,https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward-1,30
N/A,Digital print under acrylic with subframe,N/A,Portal 5 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-5-by-jane-ward,N/A
60,Digital print on Aluminium,N/A,Castle 2 by Jane Ward,https://www.bearspace.co.uk/product-page/castle-2-by-jane-ward,60
N/A,Digital print under acrylic with subframe,N/A,Portal 1 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-1-by-jane-ward,N/A
54,"Resin, pigments, inkjet prints, canvas, MDF",N/A,FRAGMENTATION No.44 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-44-by-jim-cheatle,54
54,"Resin, pigments, indian ink, watercolour paper, inkjet prints, MDF",N/A,FRAGMENTATION No.46 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-46-by-jim-cheatle,54
54,"Resin, pigments, canvas, paper, inkjet prints, MDF",N/A,FRAGMENTATION No.33 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-33-by-jim-cheatle,54
54,"Resin, pigments, inkjet prints, acrylic, paper, MDF",N/A,FRAGMENTATION No.45 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-45-by-jim-cheatle,54
54,"Resin, pigments, canvas, paper, inkjet prints, MDF",N/A,FRAGMENTATION No.17 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-17-by-jim-cheatle,54
23,"Resin, pigments, inkjet prints, MDF",N/A,Fragstudy 3 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-3-by-jim-cheatle,23
23,"Resin, pigments, inkjet prints, MDF",N/A,Fragstudy 2 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-2-by-jim-cheatle,23
54,"Resin, pigments, paper, indian ink, inkjet prints, MDF",N/A,FRAGMENTATION No.10 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-10-by-jim-cheatle,54
23,"Resin, pigments, inkjet prints, MDF",N/A,Fragstudy 1 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-1-by-jim-cheatle,23
23,"Resin, pigments, inkjet prints, MDF",N/A,Fragstudy 4 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-4-by-jim-cheatle,23
23,"Resin, pigments, inkjet prints, MDF",N/A,Fragstudy 7 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-5-by-jim-cheatle,23
6,13k gold leaf and grey casting cement.,N/A,Facet by Vic Wright,https://www.bearspace.co.uk/product-page/facet-by-vic-wright,6
7,"Fine white casting cement, ink and 18k gold",N/A,Facet 3 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-3-by-vic-wright,7
6,Fine white casting cement and 24k gold leaf,N/A,Facet 4 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-4-by-vic-wright,6
10,"Fine white casting cement, ink, crystals and 24k gold leaf",N/A,Conversation 3 by Vic Wright,https://www.bearspace.co.uk/product-page/conversation-3-by-vic-wright,10
7,"24k gold leaf, white casting cement and ink",N/A,Facet 2 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-2-by-vic-wright,7
6,"Fine white casting cement, ink and 24k gold leaf",N/A,Facet 5 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-5-by-vic-wright,6
8,Black and white casting cement with 24k gold leaf,N/A,Conversation 2 by Vic Wright,https://www.bearspace.co.uk/product-page/conversation-2-by-vic-wright,8
11,Sculpted hand and laser cut paper,N/A,Flight by Dionne Cole,https://www.bearspace.co.uk/product-page/flight-by-dionne-cole,11
85,58W x 85.5Hcm,N/A,Green Sanctuary by Dionne Cole,https://www.bearspace.co.uk/product-page/green-sanctuary-by-dionne-cole,85
N/A,oil on canvas with charcoal and watercolour,160,I See Beauty In Everything by Dominic Badnum,https://www.bearspace.co.uk/product-page/i-see-beauty-in-everything-by-dominic-badnum,N/A
N/A,oil on canvas,160,The Tide Seems To Whisper Your Name by Dominic Badnum,https://www.bearspace.co.uk/product-page/the-tide-seems-to-whisper-your-name-by-dominic-badnum,N/A
101,76 x 101.6 cm,N/A,Disperse by Dionne Cole,https://www.bearspace.co.uk/product-page/disperse-by-dionne-cole,101
40,30.5W x 40.7Hcm,N/A,Shades of Coral II by Dionne Cole,https://www.bearspace.co.uk/product-page/shades-of-coral-ii-by-dionne-cole,40
50,"oil with charcoal, watercolour and pencil on canvas",64,This Day Is Ours by Dominic Bradnum,https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-badnum,50
84,59.4 x 84.1cm,N/A,Purple Motion by Dionne Cole,https://www.bearspace.co.uk/product-page/purple-motion-by-dionne-cole,84
18,"16K goldleaf, white casting cement, pigment and ink",N/A,Meld 6 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-5-by-vic-wright,18
15,"13K gold leaf, copper leaf, white casting cement, iron and pigment",N/A,Meld 4 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-4-by-vic-wright,15
50,oil on canvas with charcoal and watercolour,84,Take My Hand by Dominic Badnum,https://www.bearspace.co.uk/product-page/take-my-hand-by-dominic-badnum,50
120,Digital print on Aluminium,N/A,The Ephemeral Isles 1 by Jane Ward,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-1-by-jane-ward,120
60,Digital print on Aluminium,N/A,Those Hidden Ravines by Jane Ward,https://www.bearspace.co.uk/product-page/those-hidden-ravines-by-jane-ward,60
38,Oil on Gessoed canvas on Board,380,El Dorado by John Greenwood,https://www.bearspace.co.uk/product-page/el-dorado-by-john-greenwood,38
120,Digital print on canvas with dissolved ink and gold leaf,1400,From the Curved Horizon by Jane Ward,https://www.bearspace.co.uk/product-page/from-the-curved-horizon-by-jane-ward,120
120,Digital print on canvas with dissolved ink and pigment,1400,To The Zenith'sHeight by Jane Ward,https://www.bearspace.co.uk/product-page/to-the-zenith-sheight-by-jane-ward,120
30,Oil on Canvas,300,Spangled by John Greenwood,https://www.bearspace.co.uk/product-page/spangled-by-john-greenwood,30
41,Pencil on Arches paper,N/A,Where Stars Dissolve by Bella Easton,https://www.bearspace.co.uk/product-page/where-stars-dissolve-by-bella-easton,41
40,Graphite on paper,320,Entry Point by Joseph Stokes,https://www.bearspace.co.uk/product-page/entry-point-by-joseph-stokes,40
41,Pencil on Arches paper,N/A,ANGEL HEART by Bella Easton,https://www.bearspace.co.uk/product-page/angel-heart-by-bella-easton,41
90, ,84,And The Sunset by Jane Ward,https://www.bearspace.co.uk/product-page/and-the-sunset-by-jane-ward,90
11,White and grey casting cement with ink,N/A,Standing Triple Black Grey and White by Vic Wright,https://www.bearspace.co.uk/product-page/standing-triple-black-grey-and-white-by-vic-wright,11
10,24K gold leaf & white casting cement,N/A,White Sitting Double by Vic Wright,https://www.bearspace.co.uk/product-page/white-sitting-double-by-vic-wright,10
13,White and Grey fine casting cement with white wax,N/A,Standing White and Grey speckle by Vic Wright,https://www.bearspace.co.uk/product-page/standing-white-and-grey-speckle-by-vic-wright,13
38,Oil on Gessoed canvas on Board,980,Museum of now by John Greenwood,https://www.bearspace.co.uk/product-page/museum-of-now-by-john-greenwood,38
14,24k gold leaf with casting cement,N/A,Standing Triple Grey and Black by Vic Wright,https://www.bearspace.co.uk/product-page/standing-triple-grey-and-black-by-vic-wright,14
12,"13k gold leaf, white casting cement and ink",N/A,Meld 3 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-3-by-vic-wright,12
6,Grey casting cement,N/A,Standing Grey double by Vic Wright,https://www.bearspace.co.uk/product-page/standing-grey-double-by-vic-wright,6
